schoolCode,school,schoolAdmin
149,부윤초등학교,puyun-e@cberi.go.kr
150,북이초등학교,bugi-e@cberi.go.kr
151,북일초등학교,bukil-e@cberi.go.kr
152,분평초등학교,bunpyeong-e@cberi.go.kr
153,비봉유치원,bibong-k@cberi.go.kr
154,비봉초등학교,bibong-e@cberi.go.kr
155,비상초등학교,pisang-e@cberi.go.kr
156,사직초등학교,sajig-e@cberi.go.kr
157,사천초등학교,cbsachon-e@cberi.go.kr
158,산남고등학교,sannam-h@cberi.go.kr
159,산남유치원,sannam-k@cberi.go.kr
160,산남중학교,sn-m@cberi.go.kr
161,산남초등학교,sn-e@cberi.go.kr
162,산성유치원,sansung-k@cberi.go.kr
163,산성초등학교,cjss-e@cberi.go.kr
164,산외초등학교,sanoe-e@cberi.go.kr
165,산척중학교,sancheok-m@cberi.go.kr
166,산척초등학교,sancheok-e@cberi.go.kr
167,삼보초등학교,sambo-e@cberi.go.kr
168,삼성중학교,sams-m@cberi.go.kr
169,삼성초등학교,samseong-e@cberi.go.kr
170,삼양유치원,samyang-k@cberi.go.kr
171,삼양초등학교,samyang-e@cberi.go.kr
172,상당고등학교,sangdang-h@cberi.go.kr
173,상당초등학교,sangdangcho-e@cberi.go.kr
174,상봉초등학교,sangbong-e@cberi.go.kr
175,상진초등학교,sangjincho-e@cberi.go.kr
176,상촌초등학교,sangchon-e@cberi.go.kr
177,새너울중학교,saeneoul-m@cberi.go.kr
178,새터초등학교,saeteo-e@cberi.go.kr
179,샛별초등학교,newstar-e@cberi.go.kr
180,생극중학교,saenggeuk-m@cberi.go.kr
181,생극초등학교,saenggeuk-e@cberi.go.kr
182,서경중학교,seogyeong-m@cberi.go.kr
183,서경초등학교,cjsk-e@cberi.go.kr
184,서원고등학교,seowongo-h@cberi.go.kr
185,서원유치원,seowon-k@cberi.go.kr
186,서원중학교,cjseowon-m@cberi.go.kr
187,서원초등학교,cjsw-e@cberi.go.kr
188,서전고등학교,seojeon-h@cberi.go.kr
189,서전유치원,seojeon-k@cberi.go.kr
190,서전중학교,seojeon-m@cberi.go.kr
191,서촌초등학교,seochon-e@cberi.go.kr
192,서현중학교,good-m@cberi.go.kr
193,서현초등학교,cjseohyun-e@cberi.go.kr
194,석교초등학교,sokkyo-e@cberi.go.kr
195,석성초등학교,seoksung-e@cberi.go.kr
196,성암초등학교,sungam-e@cberi.go.kr
197,성화중학교,seonghwa-m@cberi.go.kr
198,성화초등학교,cjsh-e@cberi.go.kr
199,세광고등학교,skhs-h@cberi.go.kr
200,세광중학교,sekwang-m@cberi.go.kr
201,세명고등학교,semyung-h@cberi.go.kr
202,세성초등학교,sesung-e@cberi.go.kr
203,세중초등학교,sejung-e@cberi.go.kr
204,소수초등학교,sosu-e@cberi.go.kr
205,소이초등학교,soi-e@cberi.go.kr
206,소태초등학교,sotae-e@cberi.go.kr
207,속리산중학교,songnisan-m@cberi.go.kr
208,속리초등학교,sokri-e@cberi.go.kr
209,솔밭중학교,solbat-m@cberi.go.kr
210,솔밭초등학교,solbat-e@cberi.go.kr
211,송면중학교,songmyeon-m@cberi.go.kr
212,송면초등학교,songmyeon-e@cberi.go.kr
213,송절중학교,sjj-m@cberi.go.kr
214,송죽초등학교,songzuk-e@cberi.go.kr
215,송학중학교,songhak-m@cberi.go.kr
216,송학초등학교,songhak-e@cberi.go.kr
217,수곡중학교,sugok-m@cberi.go.kr
218,수곡초등학교,sukok-e@cberi.go.kr
219,수봉초등학교,subong-e@cberi.go.kr
220,수산초중학교,soosan-e@cberi.go.kr
221,수성초등학교,suseong-e@cberi.go.kr
222,수안보중학교,suanbo-m@cberi.go.kr
223,수안보초등학교,suanbo-e@cberi.go.kr
224,수정초등학교,sjeong-e@cberi.go.kr
225,수한초등학교,suhan-e@cberi.go.kr
226,수회초등학교,suhoe-e@cberi.go.kr
227,숭덕학교,sungdeok-s@cberi.go.kr
228,신니중학교,sinni-m@cberi.go.kr
229,신명중학교,shinmyong-m@cberi.go.kr
230,신백초등학교,shinbak-e@cberi.go.kr
231,신송초등학교,shinsong-e@cberi.go.kr
232,심천중학교,shimcheon-m@cberi.go.kr
233,심천초등학교,shimchon-e@cberi.go.kr
234,쌍봉초등학교,ssangbong-e@cberi.go.kr
235,안남초등학교,annam-e@cberi.go.kr
236,안내중학교,annae-m@cberi.go.kr
237,안내초등학교,anne-e@cberi.go.kr
238,앙성중학교,angseong-m@cberi.go.kr
239,앙성초등학교,angseong-e@cberi.go.kr
240,야동초등학교,yadong-e@cberi.go.kr
241,양강초등학교,yangkang-e@cberi.go.kr
242,양산초등학교,ys2000-e@cberi.go.kr
243,양업고등학교,yangeob@cberi.go.kr
244,양청고등학교,yc-h@cberi.go.kr
245,양청중학교,cbyc-m@cberi.go.kr
246,양청초등학교,yc-e@cberi.go.kr
247,어상천초등학교,eosangcheon-e@cberi.go.kr
248,엄정초등학교,eomjeong-e@cberi.go.kr
249,연수초등학교,yonsu-e@cberi.go.kr
250,연풍중학교,yonpung-m@cberi.go.kr
251,연풍초등학교,yunpung-e@cberi.go.kr
252,영동고등학교,yeongdong-h@cberi.go.kr
253,영동미래고등학교,ydmirae-h@cberi.go.kr
254,영동산업과학고등학교,ydis-h@cberi.go.kr
255,영동유치원,yeongdong-k@cberi.go.kr
256,영동중학교,yongdong-m@cberi.go.kr
257,영동초등학교,yde-e@cberi.go.kr
258,영신중학교,yongshin-m@cberi.go.kr
259,영춘중학교,youngchun-m@cberi.go.kr
260,영춘초등학교,yeongchun-e@cberi.go.kr
261,오갑초등학교,ogap-e@cberi.go.kr
262,오석초등학교,oseok-e@cberi.go.kr
263,오선초등학교,oson-e@cberi.go.kr
264,오송고등학교,os-h@cberi.go.kr
265,오송유치원,osong-k@cberi.go.kr
266,오송중학교,osong-m@cberi.go.kr
267,오송초등학교,osong-e@cberi.go.kr
268,오창고등학교,ochang-h@cberi.go.kr
269,오창중학교,ochang-m@cberi.go.kr
270,오창초등학교,ochang-e@cberi.go.kr
271,옥동유치원,okdong-k@cberi.go.kr
272,옥동초등학교,oktong-e@cberi.go.kr
273,옥산유치원,oksan-k@cberi.go.kr
274,옥산중학교,osm-m@cberi.go.kr
275,옥산초등학교,okmt-e@cberi.go.kr
276,옥천고등학교,okchungo-h@cberi.go.kr
277,옥천여자중학교,ocg-m@cberi.go.kr
278,옥천중학교,okchon-m@cberi.go.kr
279,옥포초등학교,op-e@cberi.go.kr
280,왕미초등학교,wangmi-e@cberi.go.kr
281,용담초등학교,yongdarm-e@cberi.go.kr
282,용두초등학교,yongdu-e@cberi.go.kr
283,용성중학교,yongsung-m@cberi.go.kr
284,용성초등학교,ys2003-e@cberi.go.kr
285,용암중학교,yongam-m@cberi.go.kr
286,용암초등학교,cjyongam-e@cberi.go.kr
287,용원초등학교,yongwon-e@cberi.go.kr
288,용천초등학교,yongcheon-e@cberi.go.kr
289,용화초등학교,yonghwacho-e@cberi.go.kr
290,우암초등학교,cjuam-e@cberi.go.kr
291,운동중학교,undong-m@cberi.go.kr
292,운동초등학교,undong-e@cberi.go.kr
293,운천초등학교,unchun-e@cberi.go.kr
294,운호고등학교,unho-h@cberi.go.kr
295,운호중학교,unho-m@cberi.go.kr
296,원남초등학교,wonnam-e@cberi.go.kr
297,원당초등학교,wondang-e@cberi.go.kr
298,원봉중학교,wonbong-m@cberi.go.kr
299,원봉초등학교,wonbong-e@cberi.go.kr
300,원평중학교,wp-m@cberi.go.kr
301,원평초등학교,wonpyong-e@cberi.go.kr
302,율량중학교,yullyang-m@cberi.go.kr
303,율량초등학교,yullyang-e@cberi.go.kr
304,율봉유치원,yulbong-k@cberi.go.kr
305,은여울중학교,eyu-m@cberi.go.kr
306,음성고등학교,eumseong-h@cberi.go.kr
307,음성여자중학교,eumseongg-m@cberi.go.kr
308,음성중학교,eumseong-m@cberi.go.kr
309,의림여자중학교,uirim-m@cberi.go.kr
310,의림유치원,ur-k@cberi.go.kr
311,의림초등학교,uirim-e@cberi.go.kr
312,이수초등학교,isu-e@cberi.go.kr
313,이원중학교,iwonmi-m@cberi.go.kr
314,이원초등학교,iwon-e@cberi.go.kr
315,이월중학교,iwol-m@cberi.go.kr
316,이월초등학교,iwol-e@cberi.go.kr
317,일신여자고등학교,cjis-h@cberi.go.kr
318,일신여자중학교,ilshin-m@cberi.go.kr
319,입석초등학교,jcipseok-e@cberi.go.kr
320,장락초등학교,jangnak-e@cberi.go.kr
321,장야초등학교,jy@cberi.go.kr
322,장연초등학교,jangyeon-e@cberi.go.kr
323,정수중학교,jeongsu-m@cberi.go.kr
324,제천고등학교,jecheon-h@cberi.go.kr
325,제천덕산초중학교,duksan-e@cberi.go.kr
326,제천동중학교,jecheondong-m@cberi.go.kr
327,제천디지털전자고등학교,jde-h@cberi.go.kr
328,제천산업고등학교,jci-h@cberi.go.kr
329,제천상업고등학교,jcc-h@cberi.go.kr
330,제천여자고등학교,jcgirl-h@cberi.go.kr
331,제천여자중학교,jecheon-gm@cberi.go.kr
332,제천제일고등학교,jcjeil-h@cberi.go.kr
333,제천중앙초등학교,jcjungang-e@cberi.go.kr
334,제천중학교,jecheon-m@cberi.go.kr
335,종곡초등학교,jonggok-e@cberi.go.kr
336,주덕고등학교,judeok-h@cberi.go.kr
337,주덕중학교,judeok-m@cberi.go.kr
338,주덕초등학교,judeok-e@cberi.go.kr
339,주성고등학교,juseong-h@cberi.go.kr
340,주성중학교,jusung-m@cberi.go.kr
341,주성초등학교,jusung-e@cberi.go.kr
342,주중초등학교,joojoong-e@cberi.go.kr
343,죽리초등학교,jukri-e@cberi.go.kr
344,죽림초등학교,jukrim-e@cberi.go.kr
345,죽향초등학교,jukhyang-e@cberi.go.kr
346,중앙초등학교,jungang-e@cberi.go.kr
347,중앙탑중학교,cjjungangtap-m@cberi.go.kr
348,중원중학교,jungwon-m@cberi.go.kr
349,증안초등학교,jeungan-e@cberi.go.kr
350,증약초등학교,jngyak-e@cberi.go.kr
351,증평공업고등학교,jptec-h@cberi.go.kr
352,증평여자중학교,jpgm-m@cberi.go.kr
353,증평정보고등학교,jpih-h@cberi.go.kr
354,증평중학교,jpms-m@cberi.go.kr
355,증평초등학교,jp-e@cberi.go.kr
356,직지초등학교,jikjicb-e@cberi.go.kr
357,진천고등학교,jcg-h@cberi.go.kr
358,진천삼수초등학교,samsu-e@cberi.go.kr
359,진천상산초등학교,jcsangsan-e@cberi.go.kr
360,진천상신초등학교,jcsangsin-e@cberi.go.kr
361,진천상업고등학교,jcch-h@cberi.go.kr
362,진천여자중학교,jincheon-m@cberi.go.kr
363,진천유치원,jincheon-k@cberi.go.kr
364,진천중학교,jinjung-m@cberi.go.kr
365,진흥초등학교,jinhung-e@cberi.go.kr
366,창리초등학교,changri-e@cberi.go.kr
367,창신유치원,changsin-k@cberi.go.kr
368,창신초등학교,changsincho-e@cberi.go.kr
369,청남초등학교,chnam-e@cberi.go.kr
370,청룡초등학교,cheongryong-e@cberi.go.kr
371,청산고등학교,chongsan-h@cberi.go.kr
372,청산중학교,cheongsan-m@cberi.go.kr
373,청산초등학교,bestedu-e@cberi.go.kr
374,청석고등학교,cs-h@cberi.go.kr
375,청성초등학교,okcheongseong-e@cberi.go.kr
376,청안중학교,cheongan-m@cberi.go.kr
377,청안초등학교,cheongan-e@cberi.go.kr
378,청암학교,cheongam-s@cberi.go.kr
379,청운중학교,cheongun-m@cberi.go.kr
380,청원고등학교,cw-h@cberi.go.kr
381,청원초등학교,cw-e@cberi.go.kr
382,청주IT과학고등학교,cjits-h@cberi.go.kr
383,청주고등학교,cheongju-h@cberi.go.kr
384,청주공업고등학교,ck-h@cberi.go.kr
385,청주교육대학교부설초등학교,cje-e@cberi.go.kr
386,청주남중학교,cjnam-m@cberi.go.kr
387,청주내곡초등학교,cjnaegok-e@cberi.go.kr
388,청주내덕초등학교,naedeok-e@cberi.go.kr
389,청주농업고등학교,cjagh-h@cberi.go.kr
390,청주대성고등학교,cjds-h@cberi.go.kr
391,청주대성초등학교,cjds-e@cberi.go.kr
392,청주동중학교,cjd-m@cberi.go.kr
393,청주맹학교,chsb-s@cberi.go.kr
394,청주성신학교,cjss@cberi.go.kr
395,청주소로초등학교,cjsoro@cberi.go.kr
396,청주신흥고등학교,shinheung-h@cberi.go.kr
397,청주여자고등학교,cheongjug-h@cberi.go.kr
398,청주여자상업고등학교,croba-h@cberi.go.kr
399,청주여자중학교,cheongju-m@cberi.go.kr
400,청주외국어고등학교,cfl-h@cberi.go.kr
401,청주중앙여자고등학교,cjjang-h@cberi.go.kr
402,청주중앙여자중학교,cjjag-m@cberi.go.kr
403,청주중앙중학교,cjja-m@cberi.go.kr
404,청주중학교,cms-m@cberi.go.kr
405,청주하이텍고등학교,cjh-h@cberi.go.kr
406,청주혜원학교,cjhwon-s@cberi.go.kr
407,청주혜화학교,cjhyehwa-s@cberi.go.kr
408,청천중학교,cheongcheon-m@cberi.go.kr
409,청천초등학교,cheongcheon-e@cberi.go.kr
410,청풍초중학교,chongpung-e@cberi.go.kr
411,초강초등학교,chogang-e@cberi.go.kr
412,초평초등학교,chopyong-e@cberi.go.kr
413,추풍령중학교,cpr-m@cberi.go.kr
414,추풍령초등학교,chupungryong-e@cberi.go.kr
415,충북고등학교,chungbukgo-h@cberi.go.kr
416,충북공업고등학교,cbt-h@cberi.go.kr
417,충북과학고등학교,cbs-h@cberi.go.kr
418,충북대학교사범대학부설고등학교,cbnu-h@cberi.go.kr
419,충북대학교사범대학부설중학교,bujung-m@cberi.go.kr
420,충북반도체고등학교,cbsemi-h@cberi.go.kr
421,충북산업과학고등학교,cbis-h@cberi.go.kr
422,충북상업정보고등학교,cbci-h@cberi.go.kr
423,충북생명산업고등학교,cbb-h@cberi.go.kr
424,충북에너지고등학교,cbenergy-h@cberi.go.kr
425,충북여자고등학교,chungbuk-h@cberi.go.kr
426,충북여자중학교,chungbuk-m@cberi.go.kr
427,충북예술고등학교,cbart-h@cberi.go.kr
428,충북체육고등학교,cbp-h@cberi.go.kr
429,충원고등학교,chungwon-h@cberi.go.kr
430,충일중학교,chungil-m@cberi.go.kr
431,충주고등학교,chungju-h@cberi.go.kr
432,충주공업고등학교,cjth-h@cberi.go.kr
433,충주교현초등학교,khcho-e@cberi.go.kr
434,충주금릉초등학교,cjgn-e@cberi.go.kr
435,충주남산유치원,inamsan-k@cberi.go.kr
436,충주남산초등학교,cjnamsan-e@cberi.go.kr
437,충주대림초등학교,daerim-e@cberi.go.kr
438,충주대원고등학교,daewon-h@cberi.go.kr
439,충주미덕중학교,meeduck-m@cberi.go.kr
440,충주북여자중학교,cjbg-m@cberi.go.kr
441,충주삼원초등학교,samwon-e@cberi.go.kr
442,충주상업고등학교,chungjuch-h@cberi.go.kr
443,충주성남초등학교,cjsungnam-e@cberi.go.kr
444,충주성모학교,chungjusm-s@cberi.go.kr
445,충주성심학교,sungsim-s@cberi.go.kr
446,충주여자고등학교,chungjugirl-h@cberi.go.kr
447,충주여자중학교,cjgms-m@cberi.go.kr
448,충주예성여자고등학교,yesung-h@cberi.go.kr
449,충주예성여자중학교,yeseong-m@cberi.go.kr
450,충주예성초등학교,yesung-e@cberi.go.kr
451,충주용산초등학교,cjyongsan-e@cberi.go.kr
452,충주중산고등학교,joongsan-h@cberi.go.kr
453,충주중앙중학교,cjjungang-m@cberi.go.kr
454,충주중앙초등학교,chungjuja-e@cberi.go.kr
455,충주중앙탑초등학교,cjjungangtap-e@cberi.go.kr
456,충주중학교,chungju-m@cberi.go.kr
457,충주혜성학교,cjhs-s@cberi.go.kr
458,칠금중학교,chilgeum-m@cberi.go.kr
459,칠금초등학교,chilgum-e@cberi.go.kr
460,칠성중학교,chilsung-m@cberi.go.kr
461,칠성초등학교,chilseong-e@cberi.go.kr
462,탄금유치원,tangeum-e@cberi.go.kr
463,탄금중학교,tangeum-m@cberi.go.kr
464,탄금초등학교,tangum-e@cberi.go.kr
465,탄부초등학교,tanbu-e@cberi.go.kr
466,판동초등학교,pandong-e@cberi.go.kr
467,평곡초등학교,pyeonggok-e@cberi.go.kr
468,풍광초등학교,pungkwang-e@cberi.go.kr
469,하당초등학교,hadang-e@cberi.go.kr
470,학산중고등학교,haksan-m@cberi.go.kr
471,학산초등학교,haksan-e@cberi.go.kr
472,학성초등학교,haksung-e@cberi.go.kr
473,한국교원대학교부설고등학교,ahsknue-h@cberi.go.kr
474,한국교원대학교부설미호중학교,mihoj-m@cberi.go.kr
475,한국교원대학교부설월곡초등학교,wallgok-e@cberi.go.kr
476,한국교원대학교부설유치원,knue-k@cberi.go.kr
477,한국바이오마이스터고등학교,kbm-h@cberi.go.kr
478,한국폴리텍다솜고등학교,dasom@cberi.go.kr
479,한국호텔관광고등학교,hoteltourism-h@cberi.go.kr
480,한림디자인고등학교,had-h@cberi.go.kr
481,한벌초등학교,hanbol-e@cberi.go.kr
482,한솔초등학교,hansol-e@cberi.go.kr
483,한송초중학교,hansong-e@cberi.go.kr
484,한일중학교,hanil-m@cberi.go.kr
485,한천초등학교,hancheonds-e@cberi.go.kr
486,행정초등학교,haengjong-e@cberi.go.kr
487,현도중학교,hyeondo-m@cberi.go.kr
488,현도초등학교,hyundo-e@cberi.go.kr
489,형석고등학교,hshs-h@cberi.go.kr
490,형석중학교,hsms-m@cberi.go.kr
491,홍광유치원,hg-k@cberi.go.kr
492,홍광초등학교,honggwang-e@cberi.go.kr
493,화당초등학교,hwadang-e@cberi.go.kr
494,화산초등학교,hwasan-e@cberi.go.kr
495,황간고등학교,hgn-h@cberi.go.kr
496,황간중학교,hwanggan-m@cberi.go.kr
497,황간초등학교,hwanggan-e@cberi.go.kr
498,회남초등학교,hoenam-e@cberi.go.kr
499,회인중학교,hoein-m@cberi.go.kr
500,회인초등학교,hoein-e@cberi.go.kr
501,흥덕고등학교,hds-h@cberi.go.kr
502,흥덕초등학교,hungdok-e@cberi.go.kr
777,섭섭초등학교,ssamko-e@cberi.go.kr
